Name,Condition,Recommendations,Acrive Ingredients,Uses,
Kank-A,Toothache Products,23732.88,Benzocaine 20.0% (w/w): Oral anesthetic/analgesic,,
Kank-A,Toothache Products,23732.88,Benzocaine 20.0% (w/w),"['for the temporary relief of pain due to canker sores, minor irritation of the mouth and gums caused by dentures or orthodontic appliances, or minor injury of the mouth or gums']",
Thera-Gesic,Topical Analgesics,28270.41,"Menthol 1%; Analgesic

	Methyl Salicylate 15%; Counterirritant

	 ","['arthritis', 'simple backaches', 'strains', 'bruises', 'sprains']",
Thera-Gesic,Topical Analgesics,28270.41,"Menthol 4%; Analgesic

	Methyl Salicylate 25%; Counterirritant

	 ","['arthritis', 'simple backaches', 'strains', 'bruises', 'sprains']",
Biofreeze,Topical Analgesics,282704.1,Menthol USP 4%,"['arthritis', 'backache', 'strains', 'sprains']",
Biofreeze,Topical Analgesics,282704.1,Natural Menthol USP 10%,"['arthritis', 'backache', 'strains', 'sprains']",
Biofreeze,Topical Analgesics,282704.1,Menthol USP 4%,"['arthritis', 'backache', 'strains', 'sprains']",
Zostrix,Topical Analgesics,9423.47,Capsaicin 0.075%, Topical Analgesic,"['strains', 'sprains', 'bruises', 'arthritis']"
Zostrix,Topical Analgesics,9423.47,Capsaicin 0.025%, Topical Analgesic,"['strains', 'sprains', 'bruises', 'arthritis']"
Aspercreme,Topical Analgesics,131928.58,Lidocaine HCI 4%, topical analgesic,
Aspercreme,Topical Analgesics,131928.58,Menthol 16%, topical analgesic,"['temporarily relieves minor pain associated with:\r\n\t\t\n\r\n\t\t\t\tarthritis\xc2\xa0\n\r\n\t\t\t\tsimple backache\n\r\n\t\t\t\tmuscle strains\xc2\xa0\n\r\n\t\t\t\tsprains\xc2\xa0\n\r\n\t\t\t\tbruises\xc2\xa0\n\r\n\t\t\t\tcramps', 'arthritis\xc2\xa0', 'simple backache', 'muscle strains\xc2\xa0', 'sprains\xc2\xa0', 'bruises\xc2\xa0', 'cramps']"
Aspercreme,Topical Analgesics,131928.58,Menthol 10%, topical analgesic,"['arthritis\xc2\xa0', 'simple backache', 'muscle strains\xc2\xa0', 'sprains\xc2\xa0', 'bruises\xc2\xa0', 'cramps']"
Salonpas,Topical Analgesics,75387.76,"Menthol 3%; Topical Analgesic
Methyl salicylate 10% (NSAID, nonsteroidal anti-inflammatory drug); Topical Analgesic","['arthritis', 'sprains', 'strains', 'bruises', 'simple backache']",
Salonpas,Topical Analgesics,75387.76,"Menthol 7%; Topical Analgesic
Methyl Salicylate 15%; Topical Analgesic","['simple backache', 'arthritis', 'strains', 'bruises', 'sprains']",
Capzasin,Topical Analgesics,56540.82,Capsaicin 0.025%, topical analgesic,"['arthritis', 'simple backache', 'muscle strains', 'sprains', 'bruises', 'cramps']"
Capzasin,Topical Analgesics,56540.82,Capsaicin 0.1%, topical analgesic,"['arthritis', 'simple backache', 'strains', 'sprains', 'bruises']"
Capzasin,Topical Analgesics,56540.82,Capsaicin 0.15%, topical analgesic,"['arthritis', 'simple backache', 'muscle strains', 'sprains', 'bruises', 'cramps']"
Capzasin,Topical Analgesics,56540.82,Capsaicin 0.035%, topical analgesic,"['arthritis', 'simple backache', 'strains', 'sprains', 'bruises']"
Bengay,Topical Analgesics,103658.17,"Camphor 4%; Topical analgesic

	Menthol 10%; Topical analgesic

	Methyl salicylate 30%; Topical analgesic

	 ","['simple backache', 'arthritis', 'strains', 'bruises', 'sprains']",
Bengay,Topical Analgesics,103658.17,Menthol 5%, topical analgesic,"['simple backache', 'bruises', 'arthritis', 'sprains', 'strains']"
Bengay,Topical Analgesics,103658.17,Menthol 5%, topical analgesic,"['temporarily relieves minor aches and pains of muscles and joints associated with:\r\n\t\t\n\r\n\t\t\t\tsimple backache\n\r\n\t\t\t\tarthritis\n\r\n\t\t\t\tstrains\n\r\n\t\t\t\tbruises\n\r\n\t\t\t\tsprains', 'simple backache', 'arthritis', 'strains', 'bruises', 'sprains']"
Bengay,Topical Analgesics,103658.17,"Menthol 8%; Topical analgesic

	Methyl salicylate 30%; Topical analgesic

	 ","['simple backache', 'arthritis', 'strains', 'bruises', 'sprains']",
Bengay,Topical Analgesics,103658.17,Menthol 5%, topical analgesic,"['simple backache', 'arthritis', 'strains', 'bruises', 'sprains']"
Bengay,Topical Analgesics,103658.17,"Menthol 10%; Topical analgesic

	Methyl salicylate 15%; Topical analgesic

	 ","['simple backache', 'arthritis', 'strains', 'bruises', 'sprains']",
Tiger Balm,Topical Analgesics,37693.88,"Methyl Salicylate 15%; Topical Analgesic

	Menthol 5%; Topical Analgesic

	Camphor 3%; Topical Analgesic

	 ",,
Tiger Balm,Topical Analgesics,37693.88,"Camphor 11%; Topical Analgesic

	Menthol 11%; Topical Analgesic

	 ",,
Tiger Balm,Topical Analgesics,37693.88,"Methyl Salicylate 10%; Topical Analgesic

	Menthol 3%; Topical Analgesic

	 ",,
Tiger Balm,Topical Analgesics,37693.88,"Camphor 11%; Topical Analgesic

	Menthol 8%; Topical Analgesic

	 ",,
Tiger Balm,Topical Analgesics,37693.88,"Camphor 80mg / patch; Topical Analgesic

	Menthol 24mg / patch; Topical Analgesic

	Capsicum Extract 16mg / patch; Topical Analgesic

	 ",,
Carmex,Lip Balms,216622.38,"Camphor 1.7%
Menthol 0.7%",,
Carmex,Lip Balms,216622.38,"Butyl Methoxydibenzoylmethane (Avobenzone) 2.5%; Sunscreen

	Ethylhexyl Salicylate (Octisalate) 3.0%; Sunscreen

	Homosalate 5.0%; Sunscreen

	Octocrylene 4.0%; Sunscreen","['helps prevent sunburn', 'if used as directed with other sun protection measures (see\xc2\xa0Directions), decreases the risk of skin cancer and early skin aging caused by the sun']",
Compound W,Wart Removers,242939.4,Salicylic Acid 17% ww, wart remover,"['For the removal of common and plantar warts', 'The common wart is easily recognized by the rough \xe2\x80\x9ccauliflower-like\xe2\x80\x9d appearance of the surface', 'The plantar wart is recognized by its location only on the bottom of the foot, its tenderness and the interruption of the footprint pattern']"
Compound W,Wart Removers,242939.4,Salicylic Acid 40% ww, wart remover,"['For the removal of common and plantar warts', 'The common wart is easily recognized by the rough cauliflower-like appearance of the surface', 'The plantar wart is recognized by its location only on the bottom of the foot, its tenderness and interruption of the footprint pattern']"
Compound W,Wart Removers,242939.4,Salicylic Acid 40% ww, wart remover,"['For the removal of plantar warts on the bottom of the foot', 'The plantar wart is recognized by its location only on the bottom of the foot, its tenderness and the interruption of the footprint pattern']"
Compound W,Wart Removers,242939.4,Salicylic Acid 40% ww, wart remover,"['For the removal of common warts and plantar warts', 'The common wart is easily recognized by the rough cauliflower-like appearance of the surface', 'The plantar wart is recognized by its location only on the bottom of the foot, its tenderness and the interruption of the footprint pattern']"
Compound W,Wart Removers,242939.4,Salicylic Acid 17% ww, wart remover,"['For the removal of common and plantar warts', 'The common wart is easily recognized by the rough cauliflower-like appearance of the surface', 'The plantar wart is recognized by its location only on the bottom of the foot, its tenderness and the interruption of the footprint pattern']"
Dr. Scholl's Clear Away,Wart Removers,40489.9,Salicylic acid 40%, wart remover,
Dr. Scholl's Clear Away,Wart Removers,40489.9,Salicylic acid 40%, wart remover,
T/Gel,Dandruff Shampoo,74594.13,"Pyrithione Zinc 1%; Anti-Dandruff, Anti-Seborrheic Dermatitis",,
T/Gel,Dandruff Shampoo,74594.13,"Coal Tar 1.0%; Anti-dandruff, anti-seborrheic dermatitis, anti-psoriasis",,
T/Gel,Dandruff Shampoo,74594.13,"Salicylic Acid 2%; Anti-dandruff, anti-seborrheic dermatitis, anti-psoriasis",,
T/Gel,Dandruff Shampoo,74594.13,"Coal Tar 0.5%; Anti-dandruff, anti-seborrheic dermatitis, anti-psoriasis",,
Selsun Blue,Dandruff Shampoo,154926.27,Selenium sulfide 1%, Anti-dandruff shampoo,
Selsun Blue,Dandruff Shampoo,154926.27,Pyrithione zinc 1%, Anti-dandruff shampoo,
Selsun Blue,Dandruff Shampoo,154926.27,Salicylic acid 3%, Anti-dandruff shampoo,
Selsun Blue,Dandruff Shampoo,154926.27,Pyrithione zinc 1%, Anti-dandruff shampoo,
Denorex,Dandruff Shampoo,11476.02,Coal tar solution 9.0% v/v (equivalent to 1.8% coal tar),"['relieves and helps stop the recurrence of scalp itching, irritation, redness, flaking and scaling associated with dandruff, seborrheic dermatitis and psoriasis', 'extra relief of itching due to dandruff']",
Denorex,Dandruff Shampoo,11476.02,Salicylic acid 3%,"['Reduces and helps eliminate scalp itching, flaking and scaling associated with dandruff, seborrheic dermatitis and psoriasis', 'Helps prevent recurrence of the symptoms of dandruff, seborrheic dermatitis and psoriasis']",
RectiCare,Hemorrhoidal Preparations,44340,Lidocaine 5% w/w, Local anesthetic,
RectiCare,Hemorrhoidal Preparations,44340,"Lidocaine 4.3% w/w (as 5% lidocaine HCl); Local anesthetic
Glycerin 20% w/w; protectant","['helps relieve the pain, itching and burning associated with anorectal disorders', 'temporarily provides a coating for relief of anorectal discomforts', 'temporarily protects irritated and inflamed perianal skin']",
Preparation H,Hemorrhoidal Preparations,875715,"Phenylephrine HCl 0.25%; Vasoconstrictor
Witch Hazel 50.0%; Astringent","['helps relieve the local itching and discomfort associated with hemorrhoids', 'temporary relief of irritation and burning', 'temporarily shrinks hemorrhoidal tissue', 'aids in protecting irritated anorectal areas']",
Preparation H,Hemorrhoidal Preparations,875715,Witch hazel 50.0%, Astringent,"['helps relieve the local itching and discomfort associated with hemorrhoids', 'temporary relief of irritation and burning', 'aids in protecting irritated anorectal areas']"
Preparation H,Hemorrhoidal Preparations,875715,"Cocoa butter 88.44%; Protectant
Phenylephrine HCl 0.25%; Vasoconstrictor","['helps relieve the local itching and discomfort associated with hemorrhoids', 'temporarily relieves burning and shrinks hemorrhoidal tissue', 'temporarily provides a coating for relief of anorectal discomforts', 'temporarily protects the inflamed, irritated anorectal surface to help make bowel movements less painful']",
Preparation H,Hemorrhoidal Preparations,875715,"Phenylephrine HCl 0.25%; Vasoconstrictor
Witch hazel 50.0%; Astringent","['helps relieve the local itching and discomfort associated with hemorrhoids', 'temporary relief of irritation and burning', 'temporarily shrinks hemorrhoidal tissue', 'aids in protecting irritated anorectal areas']",
Preparation H,Hemorrhoidal Preparations,875715,"Glycerin 14.4%; Protectant
Phenylephrine HCl 0.25%; Vasoconstrictor
Pramoxine HCl 1%; Local anesthetic
White petrolatum 15%; Protectant","['for temporary relief of pain, soreness and burning', 'helps relieve the local itching and discomfort associated with hemorrhoids', 'temporarily shrinks hemorrhoidal tissue', 'temporarily provides a coating for relief of anorectal discomforts', 'temporarily protects the inflamed, irritated anorectal surface to help make bowel movements less painful']",
Preparation H,Hemorrhoidal Preparations,875715,"Mineral oil 14%; Protectant
Petrolatum 74.9%; Protectant
Phenylephrine HCl 0.25%; Vasoconstrictor","['helps relieve the local itching and discomfort associated with hemorrhoids', 'temporarily shrinks hemorrhoidal tissue and relieves burning', 'temporarily provides a coating for relief of anorectal discomforts', 'temporarily protects the inflamed, irritated anorectal surface to help make bowel movements less painful']",
Preparation H,Hemorrhoidal Preparations,875715,Hydrocortisone 1%, anti-itch,"['temporary relief of external anal itching', 'temporary relief of itching associated with minor skin irritations and rashes', 'other uses of this product should be only under the advice and supervision of a doctor']"
Tucks,Hemorrhoidal Preparations,199530,"Mineral Oil 46.6%; Protectant
Pramoxine HCl 1%; Pain reliever
Zinc oxide 12.5%; Protectant","['temporarily relieves these local symptoms associated with hemorrhoids or anorectal inflammation:\r\n\t\t\n\r\n\t\t\t\tpain\n\r\n\t\t\t\tsoreness\n\r\n\t\t\t\tburning\n\r\n\t\t\t\titching', 'pain', 'soreness', 'burning', 'itching', 'temporarily forms a protective coating over the inflamed tissues to help prevent drying of tissues']",
Tucks,Hemorrhoidal Preparations,199530,Pramoxine HCL 1%, pain reliever,"['temporary relieves these local symptoms associated with hemorrhoids:\r\n\t\t\n\r\n\t\t\t\tpain\n\r\n\t\t\t\titching\n\r\n\t\t\t\tdiscomfort', 'pain', 'itching', 'discomfort']"
Tucks,Hemorrhoidal Preparations,199530,Witch Hazel 50%, astringent,"['temporary relieves the local itching and discomfort associated with hemorrhoids', 'aids in protecting irritated anorectal areas', 'temporarily relieves itching and burning']"
Tucks,Hemorrhoidal Preparations,199530,Witch Hazel 50%, astringent,"['temporary relieves the local itching and discomfort associated with hemorrhoids', 'aids in protecting irritated anorectal areas', 'temporarily relieves itching and burning']"
Tucks,Hemorrhoidal Preparations,199530,Topical Starch 51%, protectant,"['temporary relieves these local symptoms associated with hemorrhoids and other anorectal disorders:\r\n\t\t\n\r\n\t\t\t\tpain\n\r\n\t\t\t\titching\n\r\n\t\t\t\tdiscomfort', 'pain', 'itching', 'discomfort', 'temporarily forms a protective coating over inflamed tissues to help prevent drying of tissues', 'temporarily protects the inflamed, irritated anorectal surface to help make bowel movement less painful']"
Mederma,Scar Treatments,301146.48,Dimethicone 2%,['Temporarily protects and helps relieve chapped or cracked skin'],
Mederma,Scar Treatments,301146.48,Allantoin 0.5%,,
Mederma,Scar Treatments,301146.48,Allantoin 1%,['Temporarily protects and helps relieve chapped or cracked skin'],
Mederma,Scar Treatments,301146.48,Dimethicone 2%,['temporarily protects and helps relieve chapped or cracked skin'],
Mederma,Scar Treatments,301146.48,"AVOBENZONE 3%
OCTOCRYLENE 10%
OXYBENZONE 6%",,
Nix,Lice Treatments,384263.36,"In each fluid ounce:
Permethrin 280 mg (1%); Lice treatment",,
Nix,Lice Treatments,384263.36,Permethrin 280 mg (1%), lice treatment,
Nix,Lice Treatments,384263.36,"In each fluid ounce:
Permethrin 280 mg (1%); Lice treatment",,
Aquaphor,Incontinence-Related Skin Protectants,101862.67,Petrolatum 41%, Skin protectant ointment,"['temporarily protects minor:\r\n\t\t\n\r\n\t\t\t\tcuts\n\r\n\t\t\t\tscrapes\n\r\n\t\t\t\tburns', 'cuts', 'scrapes', 'burns', 'temporarily protects and helps relieve chapped or cracked skin and lips', 'helps protect from the drying effects of wind and cold weather']"
Aquaphor,Incontinence-Related Skin Protectants,101862.67,Petrolatum 41%, Skin Protectant Ointment/Treatment or Prevention of Diaper Rash,"['temporarily protects minor:\r\n\t\t\n\r\n\t\t\t\tcuts\n\r\n\t\t\t\tscrapes\n\r\n\t\t\t\tburns', 'cuts', 'scrapes', 'burns', 'temporarily protects and helps relieve chapped or cracked skin and lips', 'helps protect from the drying effects of wind and cold weather', 'helps treat and prevent diaper rash', 'protects chafed skin associated with diaper rash and helps protect from wetness']"
Balmex,Incontinence-Related Skin Protectants,31342.36,Petrolatum 51.1%, skin protectant,"['temporarily protects minor\r\n\t\t\n\r\n\t\t\t\tcuts\n\r\n\t\t\t\tscraps\n\r\n\t\t\t\tburns', 'cuts', 'scraps', 'burns', 'temporarily protects and helps relieve chapped or cracked skin\xc2\xa0', 'helps treat and prevent diaper rash. Protects chafed skin or minor skin irritation due to diaper rash and helps seal out wetness.']"
Balmex,Incontinence-Related Skin Protectants,31342.36,Zinc oxide 11.3%, skin protectant,"['helps treat and prevent diaper rash', 'protects chafed skin due to diaper rash and helps seal out wetness']"
Balmex,Incontinence-Related Skin Protectants,31342.36,Zinc oxide 11.3%, skin protectant,"['helps relieve and prevent rashes and irritation due to wetness from incontinence', 'protects chafed skin due to irritation and helps seal out wetness']"
Desitin,Incontinence-Related Skin Protectants,156711.8,Zinc Oxide 13%, skin protectant,"['helps treat and prevent diaper rash', 'protects chafed skin due to diaper rash and helps seal out wetness']"
Desitin,Incontinence-Related Skin Protectants,156711.8,Petrolatum 70.3%, skin protectant,"['helps treat and prevent diaper rash', 'protects chafed skin due to diaper rash and helps seal out wetness', 'temporarily protects and helps relieve chapped, or cracked skin', 'helps prevent and protect from the drying effects of wind and cold weather', 'temporarily protects minor:\r\n\t\t\n\r\n\t\t\t\tcuts\n\r\n\t\t\t\tscrapes\n\r\n\t\t\t\tburns', 'cuts', 'scrapes', 'burns']"
Desitin,Incontinence-Related Skin Protectants,156711.8,Colloidal Oatmeal 43%, skin protectant,
Desitin,Incontinence-Related Skin Protectants,156711.8,Zinc Oxide 40%, skin protectant,"['Helps treat and prevent diaper rash', 'Protects chafed skin due to diaper rash', 'Helps seal out wetness']"
Gold Bond,Foot Care Products,125989.6,Menthol (to deliver 1% concentration), anti-itch,"['Provides maximum strength itch relief', 'Absorbs excess moisture', 'Helps control foot odor and odor-causing bacteria', 'Cools and soothes irritated skin']"
Gold Bond,Foot Care Products,125989.6,"Dimethicone 3%
White petrolatum 30%","['helps relieve, prevent and temporarily protect chafed, chapped, cracked or windburned skin\xc2\xa0', 'temporarily protects minor burns, cuts, and scrapes', 'helps protect from the drying effects of wind and cold weather']",
Gold Bond,Foot Care Products,125989.6,Menthol 16%, Topical analgesic,"['arthritis\xc2\xa0', 'muscle aches', 'strains', 'sprains', 'muscle and joint pain']"
Gold Bond,Foot Care Products,125989.6,Menthol 16%, topical analgesic,"['arthritis\xc2\xa0', 'muscle aches', 'strains', 'sprains', 'muscle and joint pain']"
Kerasal,Foot Care Products,28634,"Natural Menthol, USP (8.5%); topical analgesic","['Minor arthritis pain', 'Muscle sprains', 'Bruises', 'Simple backaches', 'Muscle strains', 'Cramps']",
Kerasal,Foot Care Products,28634,"Natural Menthol, USP (8.5%); topical analgesic","['arthritis\xc2\xa0', 'muscle aches\xc2\xa0', 'muscle strains\xc2\xa0', 'muscle sprains\xc2\xa0', 'joint pain']",
